source,highest_emissions
"All sectors without LULUCF",11370140.63
"All sectors without LULUCF",11097173.85
"All sectors without LULUCF",11042250.0
"All sectors without LULUCF",10827713.47
"All sectors without LULUCF",10821987.59
"All sectors without LULUCF",10761660.0
"All sectors without LULUCF",10734645.57
"All sectors without LULUCF",10722793.6
"All sectors with LULUCF",10722289.07
"All sectors without LULUCF",10601681.5
"All sectors without LULUCF",10518619.7
"All sectors without LULUCF",10491580.0
"All sectors without LULUCF",10491340.0
"All sectors with LULUCF",10449265.05
"All sectors without LULUCF",10411260.0
"All sectors without LULUCF",10401420.0
"All sectors with LULUCF",10394398.44
"All sectors without LULUCF",10271500.0
"All sectors without LULUCF",10251545.17
"All sectors without LULUCF",10201170.0
"All sectors with LULUCF",10179804.74
"All sectors with LULUCF",10114011.23
"All sectors with LULUCF",10113751.2
"All sectors with LULUCF",10026668.94
"All sectors with LULUCF",10014817.24
Energy,9978220.0
"All sectors with LULUCF",9953774.504
"All sectors without LULUCF",9920870.0
"All sectors with LULUCF",9843671.265
"All sectors with LULUCF",9810648.101
Energy,9794430.0
"All sectors with LULUCF",9783363.643
"All sectors with LULUCF",9703283.37
"All sectors with LULUCF",9693443.643
Energy,9670000.0
"All sectors with LULUCF",9623593.007
Energy,9565820.0
Energy,9548090.0
"All sectors with LULUCF",9543571.512
Energy,9520683.0
Energy,9499500.0
"All sectors with LULUCF",9493198.404
Energy,9480000.0
Energy,9376230.0
Energy,9359470.0
"All sectors without LULUCF",9311518.108
Energy,9250000.0
Energy,9240000.0
Energy,9220000.0
"All sectors with LULUCF",9212896.34
Energy,9200000.0
Energy,9138890.0
Energy,9080000.0
Energy,9050000.0
"All sectors without LULUCF",8988560.0
"All sectors with LULUCF",8981484.344
Energy,8830000.0
"All sectors with LULUCF",8658526.236
"All sectors without LULUCF",8526521.522
Energy,8300730.0
"All sectors without LULUCF",8219250.0
"All sectors with LULUCF",8196487.758
"All sectors without LULUCF",8123134.118
Energy,8000000.0
"All sectors with LULUCF",7889216.236
"All sectors without LULUCF",7801950.0
"All sectors with LULUCF",7793089.891
"All sectors without LULUCF",7615931.89
Energy,7596090.0
"All sectors with LULUCF",7471905.773
Energy,7310000.0
"All sectors with LULUCF",7285884.287
"All sectors without LULUCF",7280640.0
Energy,7269430.0
"All sectors without LULUCF",7069471.552
Energy,6970000.0
"All sectors with LULUCF",6950592.397
Energy,6772560.0
"All sectors without LULUCF",6762332.0
"All sectors with LULUCF",6739419.033
Energy,6460000.0
"All sectors with LULUCF",6432279.481
"All sectors without LULUCF",6413383.736
Energy,6306220.0
"All sectors without LULUCF",6098025.0
"All sectors with LULUCF",6083334.574
Energy,6020000.0
"All sectors without LULUCF",5957730.0
"All sectors without LULUCF",5947730.0
"All sectors without LULUCF",5932730.0
"All sectors without LULUCF",5890730.0
"All sectors without LULUCF",5862730.0
"All sectors without LULUCF",5845730.0
"All sectors without LULUCF",5815730.0
"All sectors without LULUCF",5771730.0
"All sectors with LULUCF",5767975.838
"All sectors without LULUCF",5762730.0
Energy,5760000.0
Energy,5744230.0
Energy,5730000.0
